endpoint,name,methods,initial_outcome,effective_outcome,status_code,error_type,records,duration_seconds,note
/db/DCTL,Definition of Frame,"DELETE,GET,POST,PUT",success,success,,,0,0.0942,
/db/DOEL,Domain-Element,"DELETE,GET,POST,PUT",success,success,,,0,0.0888,
/db/DRLS,Diaphragm Disconnect,"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.0964,GET and /info both returned 404.
/db/DSTL,Steel Design Code,"DELETE,GET,POST,PUT",success,success,,,0,0.108,
/db/DYFG,Railway Dynamic Factor,"DELETE,GET,POST,PUT",success,success,,,0,0.1129,
/db/DYLA,Dynamic Load Allowance,"DELETE,GET,POST,PUT",success,success,,,0,0.1162,
/db/DYNF,Railway Dynamic Factor by Element,"DELETE,GET,POST,PUT",success,success,,,0,0.1094,
/db/EDMP,Change Property,"DELETE,GET,POST,PUT",success,success,,,0,0.0952,
/db/EFCT,Small Displacement - Initial Force Control Data,"DELETE,GET,POST,PUT",success,success,,,0,0.0914,
/db/EIGV,Eigenvalue Analysis Control,"DELETE,GET,POST,PUT",success,success,,,0,0.0926,
/db/EIGV-M1,Eigenvalue Analysis Control (Hyper-S),"DELETE,GET,PUT",success,success,,,0,0.0925,
/db/ELEM,Element,"DELETE,GET,POST,PUT",success,success,,,4,0.1123,
/db/ELNK,Elastic Link,"DELETE,GET,POST,PUT",success,success,,,0,0.0509,
/db/EPMT,Plastic Material,"DELETE,GET,POST,PUT",success,success,,,0,0.0941,
/db/EPSE,Seismic Earth Pressure,"DELETE,GET,POST,PUT",success,success,,,0,0.0992,
/db/EPST,Static Earth Pressure,"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.104,GET and /info both returned 404.
/db/ESSF,Element Stiffness Scale Factor,"DELETE,GET,POST,PUT",success,success,,,0,0.1162,
/db/ETFC,Ambient Temperature Functions,"DELETE,GET,POST,PUT",success,success,,,0,0.1334,
/db/ETMP,Element Temperature,"DELETE,GET,POST,PUT",success,success,,,0,0.0713,
/db/EWSF,Effective Width Scale Factor,"DELETE,GET,POST,PUT",success,success,,,0,0.1025,
/db/EXLD,External Type Load Case for Pretension,"DELETE,GET,POST,PUT",success,success,,,0,0.1008,
/db/FBLA,Assign Floor Loads,"DELETE,GET,POST,PUT",success,success,,,0,0.0923,
/db/FBLD,Define Floor Load Type,"DELETE,GET,POST,PUT",success,success,,,0,0.1091,
/db/FIBR,Fiber Division of Section,"DELETE,GET,POST,PUT",success,success,,,0,0.0988,
/db/FIMP,Inelastic Material Properties,"DELETE,GET,POST,PUT",success,success,,,0,0.102,
/db/FMLD,Finishing Material Loads,"DELETE,GET,POST,PUT",success,success,,,0,0.1017,
/db/FRLS,Beam End Release,"DELETE,GET,POST,PUT",success,success,,,0,0.0867,
/db/GCMB,General Camber Control,"DELETE,GET,POST,PUT",success,success,,,0,0.1128,
/db/GRDP,Group Damping,"DELETE,GET,POST,PUT",success,success,,,0,0.1038,
/db/GRUP,Structure Group,"GET,POST,PUT",success,success,,,0,0.1184,
/db/GSBG,Bridge Girder Diagrams,"DELETE,GET,POST,PUT",success,success,,,0,0.1079,
/db/GSPR,Assign General Spring Supports,"DELETE,GET,POST,PUT",success,success,,,0,0.0484,
/db/GSTP,Define General Spring Type,"DELETE,GET,POST,PUT",success,success,,,0,0.0828,
/db/GTMP,Temperature Gradient,"DELETE,GET,POST,PUT",success,success,,,0,0.0961,
/db/HAHS,Assign Heat Source,"DELETE,GET,POST,PUT",success,success,,,0,0.0949,
/db/HECB,Element Convection Boundary,"DELETE,GET,POST,PUT",success,success,,,0,0.0906,
/db/HHCT,Heat of Hydration Analysis Control,"DELETE,GET,POST,PUT",success,success,,,0,0.0933,
/db/HHCT-M1,Heat of Hydration Analysis Control (Hyper-S),"DELETE,GET,PUT",success,success,,,0,0.0923,
/db/HPCE,Pipe Cooling,"DELETE,GET,POST,PUT",success,success,,,0,0.0957,
/db/HSFC,Heat Source Functions,"DELETE,GET,POST,PUT",success,success,,,0,0.0883,
/db/HSPT,Prescribed Temperature,"DELETE,GET,POST,PUT",success,success,,,0,0.0935,
/db/HSTG,Define Construction Stage for Hydration,"DELETE,GET,POST,PUT",success,success,,,0,0.0913,
/db/IEHC,Inelastic Hinge Control Data,"DELETE,GET,POST,PUT",success,success,,,0,0.0905,
/db/IEHG,Assign Inelastic Hinge Properties,"DELETE,GET,POST,PUT",success,success,,,0,0.103,
/db/IELC,Ignore Elements for Load Cases,"DELETE,GET,POST,PUT",success,success,,,0,0.0926,
/db/IEPI,Ignore Elements for Pushover Initial Load,"DELETE,GET,POST,PUT",success,success,,,0,0.0909,
