endpoint,name,methods,outcome,status_code,error_type,records,duration_seconds,note
/DESIGN/SRC/AIK-SRC2K/MEMB,Member Assignment,"DELETE,GET,PUT",success,,,0,0.0837,
/DESIGN/SRC/AIK-SRC2K/MLLR,Modify Live Load Reduction Factor,"DELETE,GET,POST,PUT",success,,,0,0.1264,
/DESIGN/SRC/AIK-SRC2K/MRBD,SRC Beam Section Data,"DELETE,GET,POST,PUT",success,,,0,0.0439,
/DESIGN/SRC/AIK-SRC2K/SUEQ,Scale up Factor for Earthquake,"DELETE,GET,POST,PUT",success,,,0,0.0939,
/DESIGN/STEEL/KDS-41-30-2022/CBFT,Bending Coefficient,"DELETE,GET,POST,PUT",success,,,0,0.0841,
/DESIGN/STEEL/KDS-41-30-2022/CMFT,Equivalent Moment Correction Factor,"DELETE,GET,POST,PUT",success,,,0,0.0911,
/DESIGN/STEEL/KDS-41-30-2022/CRCM,Combined Ratio Calculation Method for Circular Section,"DELETE,GET,POST,PUT",success,,,0,0.0921,
/DESIGN/STEEL/KDS-41-30-2022/DCO,Design Code Option,"DELETE,GET,PUT",success,,,0,0.0922,
/DESIGN/STEEL/KDS-41-30-2022/DCTL,Definition of Frame,"DELETE,GET,PUT",success,,,0,0.0953,
/DESIGN/STEEL/KDS-41-30-2022/EQCT,Seismic Load Combination Type,"DELETE,GET,POST,PUT",success,,,0,0.1025,
/DESIGN/STEEL/KDS-41-30-2022/FMAG,Moment Magnifier,"DELETE,GET,POST,PUT",success,,,0,0.0781,
/DESIGN/STEEL/KDS-41-30-2022/HCBM,Haunched Beam Assignment,"DELETE,GET,POST,PUT",success,,,0,0.0805,
/DESIGN/STEEL/KDS-41-30-2022/KFAC,Effective Length Factor,"DELETE,GET,POST,PUT",success,,,0,0.0834,
/DESIGN/STEEL/KDS-41-30-2022/LCTB,Load Contribution for Nonlinear Load Case,"DELETE,GET",success,,,0,0.0901,
/DESIGN/STEEL/KDS-41-30-2022/LENG,Unbraced Length,"DELETE,GET,POST,PUT",success,,,0,0.0931,
/DESIGN/STEEL/KDS-41-30-2022/LLRF,Live Load Reduction Factor,"DELETE,GET,PUT",success,,,0,0.0809,
/DESIGN/STEEL/KDS-41-30-2022/LTSR,Limiting Slenderness Ratio,"DELETE,GET,POST,PUT",success,,,0,0.0788,
/DESIGN/STEEL/KDS-41-30-2022/MBTP,Modify Member Type,"DELETE,GET,POST,PUT",success,,,0,0.0906,
/DESIGN/STEEL/KDS-41-30-2022/MEMB,Member Assignment,"DELETE,GET,PUT",success,,,0,0.0895,
/DESIGN/STEEL/KDS-41-30-2022/MLLR,Modify Live Load Reduction Factor,"DELETE,GET,POST,PUT",success,,,0,0.1016,
/DESIGN/STEEL/KDS-41-30-2022/SERV,Serviceability Parameters,"DELETE,GET,POST,PUT",success,,,0,0.0906,
/DESIGN/STEEL/KDS-41-30-2022/SLRS,Seismic Load Resisting System by Member,"DELETE,GET,POST,PUT",success,,,0,0.0906,
/DESIGN/STEEL/KDS-41-30-2022/SMODI,Modify Steel Material,"DELETE,GET,PUT",success,,,0,0.0904,
/DESIGN/STEEL/KDS-41-30-2022/SRDF,Strength Reduction Factors,"DELETE,GET,PUT",success,,,0,0.0952,
/DESIGN/STEEL/KDS-41-30-2022/SUEQ,Scale up Factor for Earthquake,"DELETE,GET,POST,PUT",success,,,0,0.0787,
/DESIGN/STEEL/KDS-41-30-2022/ULCT,Underground Load Combination Type,"DELETE,GET,POST,PUT",success,,,0,0.0892,
/db/ACTL,Main Control Data,"DELETE,GET,POST,PUT",success,,,0,0.0898,
/db/BCCT,Boundary Change Assignment,"DELETE,GET,POST,PUT",success,,,0,0.0917,
/db/BMLD,Beam Loads,"DELETE,GET,POST,PUT",success,,,0,0.0819,
/db/BNGR,Boundary Group,"GET,POST,PUT",success,,,0,0.0887,
/db/BODF,Self-Weight,"DELETE,GET,POST,PUT",success,,,0,0.0893,
/db/BTMP,Beam Section Temperature,"DELETE,GET,POST,PUT",success,,,0,0.0773,
/db/BUCK,Buckling Analysis Control,"DELETE,GET,POST,PUT",success,,,0,0.0805,
